Analysis Type:,PANTHER Overrepresentation Test (Released 20221013),,,,,,
Annotation Version and Release Date:,GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10,,,,,,
Analyzed List:,upload_1 (Arabidopsis thaliana),,,,,,
Reference List:,Arabidopsis thaliana (all genes in database),,,,,,
Test Type:,FISHER,,,,,,
Correction:,BONFERRONI,,,,,,
Bonferroni count:,2976,,,,,,
GO biological process complete,Arabidopsis thaliana - REFLIST (27430),upload_1 (413),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value),hierarchy
response to organic cyclic compound (GO:0014070),964,84,14.51,+,5.79,4.58E-34,
regulation of response to stimulus (GO:0048583),1477,125,22.24,+,5.62,1.60E-52,
regulation of cellular ketone metabolic process (GO:0010565),149,12,2.24,+,5.35,1.64E-02,1
defense response to other organism (GO:0098542),2299,170,34.61,+,4.91,1.63E-67,1
indole-containing compound metabolic process (GO:0042430),190,14,2.86,+,4.89,7.31E-03,
regulation of signal transduction (GO:0009966),453,33,6.82,+,4.84,1.45E-09,1
regulation of signaling (GO:0023051),465,33,7,+,4.71,2.83E-09,
defense response (GO:0006952),2619,184,39.43,+,4.67,3.83E-71,
cellular response to oxygen-containing compound (GO:1901701),1258,88,18.94,+,4.65,3.80E-29,
regulation of cell communication (GO:0010646),472,33,7.11,+,4.64,4.14E-09,
protein folding (GO:0006457),188,13,2.83,+,4.59,3.17E-02,1
response to wounding (GO:0009611),943,64,14.2,+,4.51,1.79E-19,1
response to external biotic stimulus (GO:0043207),2677,178,40.31,+,4.42,1.13E-64,
response to other organism (GO:0051707),2677,178,40.31,+,4.42,1.13E-64,
response to biotic stimulus (GO:0009607),2680,178,40.35,+,4.41,1.33E-64,
biological process involved in interspecies interaction between organisms (GO:0044419),2691,178,40.52,+,4.39,2.44E-64,
cellular response to chemical stimulus (GO:0070887),2130,131,32.07,+,4.08,1.03E-40,
cellular response to organic substance (GO:0071310),1649,101,24.83,+,4.07,1.21E-29,
leaf senescence (GO:0010150),278,17,4.19,+,4.06,6.97E-03,1
signal transduction (GO:0007165),2230,132,33.58,+,3.93,2.32E-39,
response to heat (GO:0009408),395,23,5.95,+,3.87,2.68E-04,1
signaling (GO:0023052),2300,133,34.63,+,3.84,1.14E-38,
response to external stimulus (GO:0009605),3199,184,48.17,+,3.82,5.67E-58,
positive regulation of response to stimulus (GO:0048584),289,16,4.35,+,3.68,4.47E-02,
response to oxidative stress (GO:0006979),743,41,11.19,+,3.66,1.03E-08,1
plant organ senescence (GO:0090693),328,18,4.94,+,3.64,1.48E-02,
cell communication (GO:0007154),2525,136,38.02,+,3.58,1.74E-36,
cellular response to lipid (GO:0071396),837,43,12.6,+,3.41,2.70E-08,1
response to temperature stimulus (GO:0009266),1311,65,19.74,+,3.29,3.40E-13,
response to osmotic stress (GO:0006970),1056,52,15.9,+,3.27,7.03E-10,
cellular response to endogenous stimulus (GO:0071495),1160,57,17.47,+,3.26,4.71E-11,
cellular response to hormone stimulus (GO:0032870),1126,55,16.95,+,3.24,1.81E-10,
response to jasmonic acid (GO:0009753),676,33,10.18,+,3.24,2.62E-05,1
hormone-mediated signaling pathway (GO:0009755),864,42,13.01,+,3.23,2.48E-07,1
cellular response to stimulus (GO:0051716),3858,187,58.09,+,3.22,3.84E-48,
response to alcohol (GO:0097305),1324,64,19.93,+,3.21,1.92E-12,
response to fatty acid (GO:0070542),709,34,10.68,+,3.18,2.36E-05,
protein phosphorylation (GO:0006468),1070,51,16.11,+,3.17,3.93E-09,1
phosphorylation (GO:0016310),1105,51,16.64,+,3.07,1.23E-08,
response to inorganic substance (GO:0010035),2250,102,33.88,+,3.01,4.76E-20,
response to salt stress (GO:0009651),711,32,10.71,+,2.99,2.66E-04,1
response to abscisic acid (GO:0009737),1181,53,17.78,+,2.98,1.23E-08,1
response to oxygen-containing compound (GO:1901700),3436,151,51.73,+,2.92,1.66E-31,
cellular response to stress (GO:0033554),1218,52,18.34,+,2.84,1.16E-07,
response to stress (GO:0006950),5760,245,86.73,+,2.83,1.86E-59,
response to lipid (GO:0033993),2756,117,41.5,+,2.82,1.93E-21,
response to water (GO:0009415),1363,56,20.52,+,2.73,7.79E-08,
response to acid chemical (GO:0001101),1396,57,21.02,+,2.71,6.39E-08,
response to salt (GO:1902074),1471,58,22.15,+,2.62,1.56E-07,
response to endogenous stimulus (GO:0009719),2753,105,41.45,+,2.53,2.36E-15,
response to hormone (GO:0009725),2722,103,40.98,+,2.51,9.50E-15,
response to organic substance (GO:0010033),4566,169,68.75,+,2.46,1.82E-27,
response to chemical (GO:0042221),5314,194,80.01,+,2.42,1.45E-32,
response to water deprivation (GO:0009414),1250,44,18.82,+,2.34,1.07E-03,1
response to abiotic stimulus (GO:0009628),4740,157,71.37,+,2.2,1.30E-19,
phosphorus metabolic process (GO:0006793),1875,60,28.23,+,2.13,2.24E-04,
protein modification process (GO:0036211),3177,100,47.83,+,2.09,4.26E-09,
regulation of cellular process (GO:0050794),6167,194,92.85,+,2.09,6.06E-24,
phosphate-containing compound metabolic process (GO:0006796),1827,57,27.51,+,2.07,8.84E-04,
response to stimulus (GO:0050896),9761,299,146.97,+,2.03,7.65E-48,
regulation of biological process (GO:0050789),8247,231,124.17,+,1.86,1.10E-23,
biological regulation (GO:0065007),8670,241,130.54,+,1.85,4.48E-25,
macromolecule modification (GO:0043412),3899,102,58.71,+,1.74,7.34E-05,
protein metabolic process (GO:0019538),4634,110,69.77,+,1.58,2.62E-03,
organonitrogen compound metabolic process (GO:1901564),6362,142,95.79,+,1.48,1.17E-03,
cellular process (GO:0009987),15272,320,229.94,+,1.39,1.85E-16,
cellular nitrogen compound metabolic process (GO:0034641),4685,39,70.54,-,0.55,4.70E-02,
nucleobase-containing compound metabolic process (GO:0006139),3660,16,55.11,-,0.29,4.82E-07,
nucleic acid metabolic process (GO:0090304),3274,12,49.3,-,0.24,2.52E-07,
Unclassified (UNCLASSIFIED),1093,4,16.46,-,0.24,0.00E+00,
RNA metabolic process (GO:0016070),2814,8,42.37,-,0.19,1.84E-07,1
gene expression (GO:0010467),1502,2,22.61,-,0.09,1.89E-04,1
